,start station name,end station name,tripduration,usertype,gender
91218,Washington St & Gansevoort St,Washington St & Gansevoort St,813,Subscriber,1
516528,Washington St & Gansevoort St,Lafayette St & E 8 St,970,Subscriber,1
142582,Reade St & Broadway,Market St & Cherry St,537,Subscriber,1
498637,E 9 St & Avenue C,E 39 St & 3 Ave,896,Subscriber,2
97227,W 20 St & 8 Ave,Bank St & Washington St,400,Subscriber,1
535992,9 Ave & W 22 St,MacDougal St & Prince St,733,Subscriber,1
450249,Broadway & W 24 St,Willoughby Ave & Hall St,2244,Subscriber,1
300064,W Broadway & Spring St,Broadway & W 24 St,762,Subscriber,1
236829,Broadway & E 22 St,West Thames St,1466,Subscriber,1
472386,Avenue D & E 8 St,E 25 St & 1 Ave,700,Subscriber,2
559812,Greenwich St & Warren St,West Thames St,481,Subscriber,2
425582,Great Jones St,W Broadway & Spring St,395,Subscriber,2
512420,Greenwich St & North Moore St,12 Ave & W 40 St,1065,Subscriber,2
330174,Broadway & W 53 St,Sullivan St & Washington Sq,901,Subscriber,1
455241,Broadway & W 56 St,W 54 St & 9 Ave,280,Subscriber,1
380310,E 19 St & 3 Ave,LaGuardia Pl & W 3 St,1361,Subscriber,1
496758,8 Ave & W 33 St,E 47 St & Park Ave,976,Subscriber,1
388089,2 Ave & E 31 St,Broadway & W 56 St,1406,Subscriber,2
306474,W 41 St & 8 Ave,Pershing Square North,459,Subscriber,1
92111,Broadway & E 14 St,9 Ave & W 14 St,1183,Subscriber,1
240123,W 56 St & 10 Ave,W 56 St & 10 Ave,65,Subscriber,1
80000,Forsyth St & Broome St,DeKalb Ave & Hudson Ave,593,Subscriber,1
157095,Clinton Ave & Myrtle Ave,W 25 St & 6 Ave,2351,Subscriber,2
212370,Lafayette St & Jersey St N,Pershing Square North,1065,Subscriber,1
48774,11 Ave & W 59 St,E 20 St & 2 Ave,1713,Subscriber,1
129563,Stanton St & Chrystie St,E 13 St & Avenue A,496,Subscriber,1
58131,Broadway & W 29 St,Jay St & Tech Pl,599,Subscriber,2
308410,Madison St & Clinton St,Madison St & Clinton St,130,Subscriber,2
231501,1 Ave & E 44 St,E 2 St & Avenue C,1140,Subscriber,1
170413,Cadman Plaza West & Montague St,Henry St & Atlantic Ave,187,Subscriber,1
23469,Carmine St & 6 Ave,,619,Subscriber,1
271322,Broad St & Bridge St,E 23 St & 1 Ave,1871,Subscriber,2
425795,11 Ave & W 41 St,11 Ave & W 41 St,198,Subscriber,1
167920,9 Ave & W 14 St,9 Ave & W 45 St,868,Subscriber,1
468418,S 4 St & Wythe Ave,E 3 St & 1 Ave,1255,Subscriber,1
