,start station name,end station name,tripduration,usertype,gender
310331,Columbia St & Rivington St,DeKalb Ave & Hudson Ave,1154,Subscriber,1
272540,Grand St & Greene St,Lafayette St & Jersey St N,306,Subscriber,1
290584,Centre St & Worth St,Lawrence St & Willoughby St,355,Subscriber,1
187290,E 39 St & 3 Ave,E 11 St & 2 Ave,1106,Subscriber,1
127908,University Pl & E 14 St,Old Slip & Front St,1721,Subscriber,1
382477,Mott St & Prince St,E 33 St & 5 Ave,1274,Subscriber,2
437810,Spruce St & Nassau St,Cliff St & Fulton St,171,Subscriber,1
286143,Lafayette St & Jersey St N,E 39 St & 3 Ave,1036,Subscriber,1
303415,2 Ave & E 31 St,Allen St & Hester St,1190,Subscriber,1
203064,Broadway & W 41 St,Mercer St & Spring St,1471,Subscriber,2
474285,E 24 St & Park Ave S,E 24 St & Park Ave S,638,Subscriber,2
395269,Washington Pl & Broadway,Lispenard St & Broadway,882,Subscriber,1
137252,Broadway & E 14 St,6 Ave & W 33 St,283,Subscriber,1
572002,Old Fulton St,Clinton Ave & Myrtle Ave,791,Subscriber,1
338606,W 4 St & 7 Ave S,Christopher St & Greenwich St,175,Subscriber,1
170705,E 47 St & Park Ave,Mott St & Prince St,848,Subscriber,2
543252,Lawrence St & Willoughby St,Christopher St & Greenwich St,740,Subscriber,2
150701,E 51 St & 1 Ave,Pike St & E Broadway,2038,Subscriber,2
155737,Christopher St & Greenwich St,E 47 St & 1 Ave,1317,Subscriber,2
467336,8 Ave & W 31 St N,8 Ave & W 31 St N,1906,Subscriber,1
325851,Duffield St & Willoughby St,Washington Ave & Park Ave,594,Subscriber,1
326855,2 Ave & E 31 St,Madison St & Montgomery St,1526,Subscriber,2
487618,E 58 St & 3 Ave,2 Ave & E 31 St,917,Subscriber,2
45242,Pershing Square North,W 54 St & 9 Ave,941,Subscriber,1
434933,Pershing Square South,West St & Chambers St,1442,Subscriber,2
35624,Great Jones St,Great Jones St,62,Subscriber,2
286580,W 38 St & 8 Ave,W 56 St & 6 Ave,977,Subscriber,2
515096,E 31 St & 3 Ave,MacDougal St & Prince St,850,Subscriber,1
375592,Franklin St & W Broadway,8 Ave & W 52 St,1051,Subscriber,1
230939,LaGuardia Pl & W 3 St,Howard St & Centre St,445,Subscriber,1
4124,Washington Square E,Mercer St & Spring St,519,Subscriber,1
291936,E 47 St & 2 Ave,Broadway & W 24 St,391,Subscriber,1
212965,South St & Gouverneur Ln,Centre St & Chambers St,1177,Subscriber,1
512934,Front St & Maiden Ln,12 Ave & W 40 St,2164,Subscriber,1
552201,Pike St & E Broadway,E 7 St & Avenue A,386,Subscriber,1
